iso3,country_name,region,population,prevalence_per_1k,estimated_number,vulnerability_total,govt_response_total
HND,Honduras,Americas,9905000,6.95623779296875,69000.0,61.9891303997632,47.43589782714844
HKG,Hong Kong,Asia and the Pacific,7497000,2.762860774993896,21000.0,28.2149097296573,32.0512809753418
HUN,Hungary,Europe and Central Asia,9660000,6.565171718597412,63000.0,18.92211530903652,55.12820434570313
ISL,Iceland,Europe and Central Asia,341000,,,,47.43589782714844
IND,India,Asia and the Pacific,1380004000,8.007246017456055,11050000.0,55.9801094613487,46.15384674072266
IDN,Indonesia,Asia and the Pacific,273524000,6.702832221984863,1833000.0,48.63253801383483,50.0
IRN,Iran,Asia and the Pacific,83993000,7.104307174682617,597000.0,68.45613063573391,7.692307472229004
IRQ,Iraq,Arab States,40223000,5.49226226733973,221000.0,82.30540812527585,33.33333206176758
IRL,Ireland,Europe and Central Asia,4938000,1.101991295814514,5000.0,9.333911783690326,62.82051467895508
ISR,Israel,Europe and Central Asia,8656000,3.792859554290771,33000.0,35.43303812106679,44.87179565429688
ITA,Italy,Europe and Central Asia,60462000,3.26297926902771,197000.0,21.69834077845412,58.97435760498047
JAM,Jamaica,Americas,2961000,7.287474155426025,22000.0,45.1316666188503,51.28205108642578
JPN,Japan,Asia and the Pacific,126476000,1.140809535980225,144000.0,11.43464895336334,43.58974456787109
JOR,Jordan,Arab States,10203000,10.005855967217204,102000.0,49.29815803249815,46.15384674072266
KAZ,Kazakhstan,Europe and Central Asia,18777000,11.06179714202881,208000.0,42.07077800139496,46.15384674072266
KEN,Kenya,Africa,53771000,5.003462791442871,269000.0,66.17329184364702,46.15384674072266
XKX,Kosovo,Europe and Central Asia,0,8.021943092346191,14000.0,40.35852075960894,44.5945930480957
KWT,Kuwait,Arab States,4271000,12.959253188009185,55000.0,38.91413149706471,37.17948532104492
KGZ,Kyrgyzstan,Europe and Central Asia,6524000,8.725506782531738,57000.0,54.72198722532689,47.43589782714844
LAO,Lao PDR,Asia and the Pacific,7276000,5.161807537078857,38000.0,51.53891224566895,46.15384674072266
LVA,Latvia,Europe and Central Asia,1886000,3.378555059432983,6000.0,16.83542015269315,58.97435760498047
LBN,Lebanon,Arab States,6825000,7.567281429788705,52000.0,59.97991052358088,33.33333206176758
LSO,Lesotho,Africa,2142000,1.646948337554932,4000.0,59.40494354074929,39.74359130859375
LBR,Liberia,Africa,5058000,3.14580249786377,16000.0,56.064437896472,41.02564239501953
LBY,Libya,Africa,6871000,6.821667194366455,47000.0,80.29537378734653,10.25641059875488
LIE,Liechtenstein,Europe and Central Asia,0,,,,30.76922988891602
LTU,Lithuania,Europe and Central Asia,2722000,6.085984230041504,17000.0,21.26974150587318,57.69230651855469
LUX,Luxembourg,Europe and Central Asia,626000,,,,51.28205108642578
MDG,Madagascar,Africa,27691000,4.572755336761475,127000.0,59.62871737089615,42.30769348144531
MWI,Malawi,Africa,19130000,4.865484237670898,93000.0,54.87604283540575,38.46154022216797
MYS,Malaysia,Asia and the Pacific,32366000,6.255043506622314,202000.0,37.15885008690078,44.87179565429688
MDV,Maldives,Asia and the Pacific,541000,,,,37.17948532104492
MLI,Mali,Africa,20251000,5.233090400695801,106000.0,72.71234300654032,30.76922988891602
MLT,Malta,Europe and Central Asia,442000,,,,48.71794891357422
MRT,Mauritania,Africa,4650000,32.01548385620117,149000.0,66.12226331919237,34.61538314819336
MUS,Mauritius,Africa,1272000,1.507123351097107,2000.0,19.93046737136174,35.89743423461914
MEX,Mexico,Americas,128933000,6.589330673217773,850000.0,58.08316401415551,55.12820434570313
MDA,Moldova,Europe and Central Asia,4034000,9.474068641662598,38000.0,35.97742784174802,47.43589782714844
MNG,Mongolia,Asia and the Pacific,3278000,4.044466495513916,13000.0,50.12350020691984,39.74359130859375
MNE,Montenegro,Europe and Central Asia,628000,,,,60.25640869140625
MAR,Morocco,Africa,36911000,2.292283058166504,85000.0,44.31475703230105,39.74359130859375
MOZ,Mozambique,Africa,31255000,2.974953413009644,93000.0,67.14662783066453,44.87179565429688
MMR,Myanmar,Asia and the Pacific,54410000,12.07966709136963,657000.0,67.43775615436518,42.30769348144531
NAM,Namibia,Africa,2541000,2.351321458816528,6000.0,46.9669209138301,43.58974456787109
NPL,Nepal,Asia and the Pacific,29137000,3.322043418884277,97000.0,46.35864725919419,44.87179565429688
