iso3,gdp_per_capita,population,urban_share,unemployment,youth_dep_ratio,gini,year
ECS,27664.8914080918,924381062,73.6225864414212,6.90008993267541,27.4441682969879,,2021
ECU,6061.32350181711,17682454,63.0871268249117,4.504,39.1491792777126,45.5,2021
EGY,3827.35415374308,110957008,42.5686062621468,7.441,53.477218427384,28.5,2021
EMU,42984.5697414154,347207191,77.0333277900748,7.74091996942336,22.9753427053249,,2021
ERI,,3350183,34.9871139526367,6.489,70.8658900563099,,2021
ESP,30799.4775937775,47443821,79.7846242983598,14.914,20.9847212712219,33.6,2021
EST,27951.1659277744,1330932,70.1777274135822,6.178,25.9264280065878,32.3,2021
ETH,893.00983544905,122138588,22.1067085266113,3.935,70.4849921111863,31.1,2021
EUU,39206.9791776084,446227358,74.6469353508505,7.0265794645481,23.2915438950312,,2021
FCS,1711.40128929758,1016906998,45.2430817899977,6.78144462467384,70.5099985178319,,2021
FIN,53099.1351400148,5541017,73.3710215780329,7.617,25.0594641669866,27.9,2021
FJI,4536.73312110335,916711,57.6618364761928,5.225,42.508588505062,30.7,2021
FRA,43725.0999521245,67842811,78.7364603392338,7.871,27.9482620831353,31.2,2021
FRO,69415.1853254579,53296,38.8083763122559,,33.5132168663679,,2021
FSM,3508.22314197664,111624,22.3928762855411,,52.2143515319051,,2021
GAB,8181.40914134656,2376722,90.7881967286967,21.223,62.2183278828381,,2021
GBR,47691.3768799404,66984000,82.9886431523641,4.864,28.1099435580232,32.4,2021
GEO,5083.60695484577,3708610,59.4293560618005,11.785,33.1674195721638,33.5,2021
GHA,2445.18662529344,32518665,56.6952556826536,3.2,61.8544114062139,,2021
GIB,,36858,100.0,,27.9648916512683,,2021
GIN,1244.96550477914,13710513,36.8502178436256,5.815,76.545488705212,29.6,2021
GMB,781.890925169531,2576010,62.7550706637859,6.213,74.9243062130746,38.8,2021
GNB,926.780921081233,2058841,44.7334136962891,3.016,70.6585628387222,33.4,2021
GNQ,6945.63069794539,1758786,70.6431215020592,8.821,64.517170502802,38.5,2021
GRC,20654.7001960815,10569207,78.3884898647442,14.656,22.2094780887736,33.4,2021
GRD,9617.28902905373,116688,36.2831603706908,,30.15605759807,43.8,2021
GRL,58135.9939910203,56653,87.5452017613678,,29.787341388966,,2021
GTM,4912.62240414681,17598650,54.9047071553758,2.174,53.519938713402,,2021
GUM,38074.8793745801,163730,94.0884327694075,6.0,41.2077186780744,,2021
GUY,9860.87014834386,815482,26.443303961947,14.576,45.660099618301,,2021
HKG,49770.5642374739,7413100,100.0,5.174,16.0239980417723,,2021
HND,2735.14751503977,10289877,57.3550236357547,8.506,49.5296736709661,48.2,2021
HPC,1061.41414950431,870930036,36.4724990615456,4.93435685063582,77.448979400745,,2021
HRV,17788.7865816658,3878981,56.7683502560171,7.483,22.6388560254653,30.0,2021
HTI,1841.33189337222,11374586,53.2460637918026,15.296,51.0303322313356,,2021
HUN,19030.628130329,9630932,70.2059275331413,4.021,22.3978631217659,,2021
IBD,7314.52836425795,4905212516,57.4187341409059,6.31312953704222,33.9660646850211,,2021
IBT,5754.24675079938,6732651035,52.5067410155359,6.1438114050949,42.0473786206406,,2021
IDA,1566.13709936781,1827438519,39.3219635762075,5.59578179046383,67.5712703353523,,2021
IDB,2142.31172674601,639196319,47.0949322895637,5.813781237265,68.8940448337095,,2021
IDN,4287.17313995098,276758053,56.8761702464027,3.827,37.7560824212457,35.5,2021
IDX,1256.19296430735,1188242200,35.1406165500882,5.47334095799464,66.8657135004007,,2021
IMN,94299.969348965,84106,52.1999559660634,,23.7360107196105,,2021
IND,2239.61384367482,1414203896,34.4425517181304,6.38,38.3501503332631,25.5,2021
IRL,103783.446284479,5110585,63.6774229356985,6.357,30.312187619225,29.9,2021
IRN,4605.14881318992,88455488,75.9926376342773,9.282,34.1090457081754,34.8,2021
IRQ,4868.49431080783,43071211,69.8682708740234,16.173,65.0006125825648,,2021
ISL,70425.4064277273,372520,94.2108206403841,6.029,28.0023733219242,26.8,2021
ISR,52270.9040241956,9371400,91.5353517549466,4.812,46.6829436211387,38.3,2021
ITA,36852.5425414951,59133173,69.4812507629394,9.497,19.7960083315913,33.7,2021
JAM,5625.67806271236,2837682,57.5411017937226,5.188,27.5991197762182,39.9,2021
JOR,4183.49998326866,11066356,92.117972910453,19.837,50.9279610459247,,2021
JPN,40094.5599795288,125681593,91.8741049279527,2.808,20.5130132579451,32.3,2021
KAZ,9983.60103576902,19743603,61.030254280267,5.568,46.9900614165434,29.2,2021
KEN,2061.35622089594,53219166,31.2879334021971,5.693,66.1392886812234,38.5,2021
KGZ,1349.99730650542,6851224,34.7521210171204,5.149,53.3393322349761,26.4,2021
KHM,2167.40324198499,16974305,40.1091858128847,0.396,48.3799875774695,,2021
KIR,2222.04819501897,128377,59.6364645301985,,57.7656361961306,27.8,2021
KNA,18361.1449697886,46763,31.5393525093972,,26.383808095952,,2021
KOR,37518.4635305697,51769539,81.1616526507785,3.639,16.4941683956095,32.9,2021
KWT,34018.6342592913,4360865,100.0,2.97,26.2635562513603,,2021
LAC,7970.6164425206,581884231,80.0850327420149,9.16082734268686,35.0577228279923,,2021
LAO,2526.05105018529,7453194,37.338778268357,2.08,48.5479344422381,38.8,2021
LBN,4045.37391066234,5718122,89.965362045441,12.715,43.7423310672882,35.5,2021
LBR,667.96610514319,5259323,53.9224618859098,3.844,73.3832410197848,,2021
LBY,4935.82787349801,7135175,87.8365018271835,19.779,43.7426615598026,,2021
LCA,10459.1321248092,178522,27.4443458949551,20.514,25.3770895924813,,2021
LCN,8291.07156305024,649236072,80.6341871510641,9.14468415154642,34.9684369054226,,2021
LDC,1175.55718251136,1109175268,34.8170450065276,5.7342733352141,69.1798085850037,,2021
LIE,201944.830335076,39182,14.6989159370696,,21.8196488262189,,2021
LKA,3996.96240014909,22156000,19.8266275195269,4.981,34.9053110264527,37.7,2021
LMY,5524.24398933119,6378323939,52.3095923972594,6.20117690908003,42.110012839692,,2021
LSO,1066.58645143823,2261542,40.6551760851997,18.214,58.7238136781976,,2021
LTE,11759.7974990154,2320127638,66.1284353462167,5.50538470000201,27.1782895144056,,2021
LTU,23870.4594851722,2808380,68.1912117004395,7.112,23.2666025530664,36.6,2021
LUX,134965.815442152,640064,94.5861743396533,5.571,22.9782824186717,34.1,2021
