country,country_name,region,observed_prevalence_per_1k,vulnerability_total,govt_response_total,gdp_per_capita_log,population_log,urban_share,unemployment,gini,youth_dep_ratio,press_freedom_score,year,wgi_rule_of_law,wgi_government_effectiveness
GIN,Guinea,Africa,4.023453235626221,65.57711372844109,35.89743423461914,7.1276660141962225,16.4336735417183,36.8502178436256,5.815,29.6,76.545488705212,64.58,2021,-1.5877018391415574,-1.816725492055204
GNB,Guinea-Bissau,Africa,4.495571136474609,80.0575807109044,33.33333206176758,6.832795628494691,14.5376542467858,44.7334136962891,3.016,33.4,70.6585628387222,67.32,2021,-1.1155699084434956,-1.1455568640214169
GUY,Guyana,Americas,4.188868522644043,40.97456782269074,51.28205108642578,9.19643109982899,13.61153585471924,26.443303961947,14.576,34.2,45.660099618301,74.39,2021,0.5116076767931639,0.8738321949306038
HTI,Haiti,Americas,8.21799087524414,66.38134261556087,37.17948532104492,7.518787381568441,16.24689221444984,53.2460637918026,15.296,34.2,51.0303322313356,68.88,2021,-0.5269833293459913,-0.4335657761912519
HND,Honduras,Americas,6.95623779296875,61.9891303997632,47.43589782714844,7.914306193604714,16.146671251568907,57.3550236357547,8.506,48.2,49.5296736709661,50.65,2021,-1.0090893294112386,-0.2150713504313484
HKG,Hong Kong,Asia and the Pacific,2.762860774993896,28.2149097296573,32.0512809753418,10.81519910068308,15.818759398259383,100.0,5.174,34.2,16.0239980417723,69.56,2021,1.179858626737321,0.8257149414164418
HUN,Hungary,Europe and Central Asia,6.565171718597412,18.92211530903652,55.12820434570313,9.853857512612047,16.080490663816487,70.2059275331413,4.021,34.2,22.3978631217659,68.24,2021,0.6138093636670315,0.7265137523176206
IND,India,Asia and the Pacific,8.007246017456055,55.9801094613487,46.15384674072266,7.714505144662539,21.06983259275217,34.4425517181304,6.38,25.5,38.3501503332631,53.44,2021,-1.139735551361826,-1.0844137445755742
IDN,Indonesia,Asia and the Pacific,6.702832221984863,48.63253801383483,50.0,8.363616079722552,19.438654231207252,56.8761702464027,3.827,35.5,37.7560824212457,62.6,2021,0.4669779618819802,0.5900255197422102
IRN,Iran,Asia and the Pacific,7.104307174682617,68.45613063573391,7.692307472229004,8.435147388410591,18.298010034304266,75.9926376342773,9.282,34.8,34.1090457081754,27.3,2021,-0.3783103442488936,-0.3426427177216312
IRQ,Iraq,Arab States,5.49226226733973,82.30540812527585,33.33333206176758,8.490745373068675,17.578365396871188,69.8682708740234,16.173,34.2,65.0006125825648,44.43,2021,-0.0104102308700901,-0.1777286409058289
IRL,Ireland,Europe and Central Asia,1.101991295814514,9.333911783690326,62.82051467895508,11.550071395369551,15.446824632708688,63.6774229356985,6.357,29.9,30.312187619225,88.09,2021,1.842691982877828,1.3981377552935346
ISR,Israel,Europe and Central Asia,3.792859554290771,35.43303812106679,44.87179565429688,10.864214297754753,16.053173162781505,91.5353517549466,4.812,38.3,46.6829436211387,69.1,2021,2.111383747034957,2.820056394046131
ITA,Italy,Europe and Central Asia,3.26297926902771,21.69834077845412,58.97435760498047,10.514707027094456,17.89530264469225,69.4812507629394,9.497,33.7,19.7960083315913,76.61,2021,1.7675855323481704,1.5676234611960886
JAM,Jamaica,Americas,7.287474155426025,45.1316666188503,51.28205108642578,8.635274504843359,14.858498432084255,57.5411017937226,5.188,39.9,27.5991197762182,90.04,2021,0.2099901966214242,-0.4160070301106917
JPN,Japan,Asia and the Pacific,1.140809535980225,11.43464895336334,43.58974456787109,10.599020883461815,18.649262234835668,91.8741049279527,2.808,32.3,20.5130132579451,71.12,2021,0.4155849494438783,0.1794462721284901
JOR,Jordan,Arab States,10.005855967217204,49.29815803249815,46.15384674072266,8.339142497474521,16.219420162899397,92.117972910453,19.837,34.2,50.9279610459247,57.11,2021,-0.2246618516951258,0.0012162516115858
KAZ,Kazakhstan,Europe and Central Asia,11.06179714202881,42.07077800139496,46.15384674072266,9.208799288694005,16.79834014876002,61.030254280267,5.568,29.2,46.9900614165434,49.72,2021,0.6215784858913147,0.4094181073467588
KEN,Kenya,Africa,5.003462791442871,66.17329184364702,46.15384674072266,7.631604404698149,17.789929171380802,31.2879334021971,5.693,38.5,66.1392886812234,66.35,2021,-0.3268134105382613,0.114001791261142
KWT,Kuwait,Arab States,12.959253188009184,38.91413149706471,37.17948532104492,10.434693115136369,15.288181219455321,100.0,2.97,34.2,26.2635562513603,65.64,2021,0.9376654489200258,1.1446183858812105
KGZ,Kyrgyzstan,Europe and Central Asia,8.725506782531738,54.72198722532689,47.43589782714844,7.2085983442538595,15.739938026366639,34.7521210171204,5.149,26.4,53.3393322349761,69.63,2021,-0.288312978496876,-0.3051832713944591
LAO,Lao PDR,Asia and the Pacific,5.161807537078857,51.53891224566895,46.15384674072266,7.834808309077803,15.824153357482382,37.338778268357,2.08,38.8,48.5479344422381,29.44,2021,-1.1178751909329825,-1.147752454672497
